TAIL	HEAD	WEIGHT	COLOR	MODULE
ENSMUSG00000032327_fx	ENSMUSG00000058135_hx	338.468457991891	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000024370_hx	645.389312415617	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000039824_hx	742.59045001412	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000039252_hx	324.603857356815	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000030376_hx	307.311470121286	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000004934_hx	615.709431119231	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000091264_hx	289.066480923651	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000021120_hx	490.840867205042	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000032649_hx	259.213418946746	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000073131_hx	338.570156931765	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000056383_hx	697.813660738673	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000109440_hx	317.969531680635	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000021932_hx	265.133091460962	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000002602_fx	832.736289388747	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000038047_fx	424.789501530949	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000002825_hx	238.694950854468	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	1-(1-enyl-oleoyl)-GPE (P-18:1)*_feces	527.617688229783	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000028914_hx	330.592598799695	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000031661_hx	329.062529711463	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000031925_fx	399.32575328105	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000106746_hx	369.286719461443	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000047126_hx	487.532689834966	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000041556_hx	647.139926140566	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000030942_hx	260.782271754301	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000036712_hx	512.893037074802	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000004846_hx	337.81987237128	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000038503_hx	591.63523196579	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000016477_hx	239.950566244555	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000027133_hx	372.408768377367	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000018501_hx	313.787087276994	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000024248_hx	382.170454750635	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000052676_hx	346.677621623644	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000041180_hx	337.411819841606	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000026848_hx	282.07331998414	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000026504_hx	373.437866985814	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000008958_hx	679.519989585101	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000040964_fx	449.397015859134	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000024276_hx	337.033195576646	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000022820_hx	170.014841357657	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000059401_hx	537.213871430308	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000023286_hx	239.075312698591	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000032582_hx	165.639825905001	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000038975_fx	893.157414777931	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000026159_fx	178.977820573992	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000015749_hx	718.664252135179	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000049303_hx	271.943572120675	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000030016_hx	389.383962857148	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000038014_hx	298.903924288725	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000029093_fx	413.97993155964	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000105720_hx	149.817577565478	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000023868_hx	342.738530322675	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000032246_hx	342.198271599626	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000092368_hx	179.635345724941	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000020053_hx	178.180655691633	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000047514_hx	722.948034660496	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000050288_hx	160.618766623856	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000047220_hx	225.117486235662	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000063281_hx	289.768411907739	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000021972_hx	158.372611266965	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000040964_hx	249.437524574038	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000029512_hx	400.03474579505	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000017721_hx	214.567005073316	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000029767_hx	550.234944186026	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000024063_hx	354.822262439714	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000031715_hx	348.086740015762	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000024260_fx	158.08820322795	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000028936_hx	119.958142792632	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000015711_hx	290.340419124264	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000008301_hx	622.525917834907	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000028430_hx	838.509707035503	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000000838_hx	192.658935471989	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000038605_fx	322.952507330226	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000074637_hx	251.593985649519	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000028988_hx	400.955973837758	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000021094_hx	248.125857161965	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	ENSMUSG00000008690_hx	448.493558428068	#cfcfcf	grey60_hx
ENSMUSG00000032327_fx	1-methyl-5-imidazoleacetate_serum	275.732462680704	#cfcfcf	grey60_hx
