MODULE	NODE	P	FDR	N.mod	N.neigh	N.obsrv	N.expct	MEMBER	FILL	FOLD
grey60_hx	ENSMUSG00000032327_fx	0.00012434519384277	0.0138023165165475	268	1009	134	90.5599464166109	FALSE	0.132804757185332	1.4796828543112
red_hx	ENSMUSG00000027016_hx	0.000335616395707062	0.018626709961742	486	918	198	149.413261888814	TRUE	0.215686274509804	1.32518357137094
red_hx	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus	0.000616742989638952	0.0228194906166412	486	1235	245	201.008037508372	FALSE	0.198380566801619	1.21885673347662
red_hx	ENSMUSG00000032327_fx	0.000938419073794704	0.026041129297803	486	1009	213	164.224380442063	FALSE	0.211100099108028	1.29700595871722
red_hx	ENSMUSG00000035772_hx	0.00152881416925296	0.0339396745574156	486	822	176	133.78834561286	FALSE	0.214111922141119	1.31551069858721
red_hx	ENSMUSG00000042406_hx	0.00422868143938459	0.078230606628615	486	585	130	95.2143335565975	FALSE	0.222222222222222	1.36534064929127
red_hx	ENSMUSG00000102618_hx	0.00729430203936896	0.0823081128999351	486	591	130	96.1908908238446	FALSE	0.219966159052453	1.35147932290252
red_hx	ENSMUSG00000000693_hx	0.00733457746377124	0.0823081128999351	486	379	92	61.6858673811119	FALSE	0.242744063324538	1.49142751664006
red_hx	PWY-5101: L-isoleucine biosynthesis II|g__Lachnoclostridium.s__Clostridium_hylemonae	0.00744866189500643	0.0823081128999351	486	395	94	64.2900200937709	FALSE	0.237974683544304	1.46212429025369
grey60_hx	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus	0.00822789230111233	0.0823081128999351	268	1235	153	110.843938379102	FALSE	0.123886639676113	1.38031905251073
grey60_hx	PWY-7446: sulfoglycolysis|g__Citrobacter.s__Citrobacter_amalonaticus	0.00871665804074539	0.0823081128999351	268	743	97	66.6858673811119	FALSE	0.130551816958277	1.45458106506498
grey60_hx	ENSMUSG00000027016_hx	0.00889817436756056	0.0823081128999351	268	918	124	82.3924983255191	FALSE	0.135076252723312	1.50499138295451
red_hx	PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Lachnoclostridium.s__Clostridium_aldenense	0.0132990705856026	0.113553602692453	486	940	197	152.993971868721	FALSE	0.209574468085106	1.28763243148586
GWAS_hx	ENSMUSG00000026848_hx	0.0156923224291343	0.116435174458749	10	639	7	2.13998660415271	FALSE	0.0109546165884194	3.27104851330203
red_hx	ENSMUSG00000082007_fx	0.0157344830349661	0.116435174458749	486	620	136	100.910917615539	FALSE	0.219354838709677	1.34772335059073
grey60_hx	PWY-1861: formaldehyde assimilation II (RuMP Cycle)|g__Lachnoclostridium.s__Clostridium_aldenense	0.016939263167273	0.117516138222957	268	663	89	59.5056932350971	FALSE	0.134238310708899	1.49565520812228
grey60_feces	DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus	0.0258464073743245	0.165578633111196	20	1235	17	8.27193569993302	FALSE	0.0137651821862348	2.05514170040486
red_hx	ENSMUSG00000029370_hx	0.026850589153167	0.165578633111196	486	583	127	94.8888144675151	TRUE	0.217838765008576	1.33840854385928
lightpink4_hx	ENSMUSG00000026833_hx	0.0313401508733192	0.183092460365181	85	1312	59	37.3476222371065	FALSE	0.0449695121951219	1.5797525107604
red_hx	ENSMUSG00000074890_hx	0.0342496919907968	0.190085790548922	486	369	87	60.0582719356999	FALSE	0.235772357723577	1.44859312790659
grey60_hx	ENSMUSG00000035772_hx	0.0370273425605855	0.195715953534523	268	822	111	73.7762893503014	FALSE	0.135036496350365	1.50454842575444
red_hx	ENSMUSG00000034855_hx	0.0453519851933069	0.228821379838957	486	627	133	102.050234427328	FALSE	0.212121212121212	1.30327971068712
red_hx	ENSMUSG00000028550_hx	0.0547447553671437	0.259129696451771	486	359	86	58.430676490288	FALSE	0.239554317548747	1.47182961358139
red_hx	ENSMUSG00000040502_hx	0.0560280424760586	0.259129696451771	486	662	134	107.746818486269	TRUE	0.202416918429003	1.24365621075927
grey60_hx	ENSMUSG00000097579_fx	0.0610173905075464	0.261372458733	268	548	76	49.1841929002009	FALSE	0.138686131386861	1.54521189672078
grey60_hx	ENSMUSG00000066235_hx	0.0612223777212432	0.261372458733	268	726	94	65.1600803750837	FALSE	0.129476584022039	1.44260104436495
grey60_hx	ENSMUSG00000062510_hx	0.0698198473105227	0.287037150054371	268	486	67	43.6195579370395	FALSE	0.137860082304527	1.53600823045267
red_hx	ENSMUSG00000089889_hx	0.078048151255214	0.309405171047456	486	755	161	122.8834561286	FALSE	0.213245033112583	1.31018450385632
red_hx	ENSMUSG00000097274_fx	0.082168087880668	0.314505439819109	486	591	126	96.1908908238446	FALSE	0.213197969543147	1.30989534373629
grey60_hx	ENSMUSG00000033389_hx	0.0888127926608092	0.321081603206582	268	686	86	61.5699933020764	FALSE	0.12536443148688	1.39678430007397
red_hx	ENSMUSG00000026833_hx	0.0918013785731243	0.321081603206582	486	1312	254	213.540522438044	TRUE	0.19359756097561	1.1894697882164
red_hx	ENSMUSG00000101596_fx	0.0925640657892848	0.321081603206582	486	357	82	58.1051574012056	FALSE	0.2296918767507	1.41123445262879
